Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,93906,24408632
rural,24333,7054834
urban,91723,47693992
urban,43110,655823
rural,72118,15758111
urban,92804,26076319
urban,68122,18707358
urban,68122,7862217
urban,34689,15411866
urban,94546,50897849
urban,80228,7553732
urban,80228,50155803
urban,21701,93254577
urban,07754,181050261
urban,75063,2761209
urban,02891,9673545
urban,29340,4205070
urban,90034,13047857
urban,06050,41446282
rural,24382,6335252
urban,77385,47387100
rural,39452,2802005
urban,64132,56082071
urban,38583,1478196
urban,80109,7743604
urban,94501,14839084
urban,75032,9793325
urban,53083,9345485
urban,83221,2626693
urban,18711,68556452
rural,58316,2436636
urban,99204,126274628
urban,32164,39578584
urban,33837,17962634
rural,36467,4680320
urban,25550,3059148
urban,98026,24423372
urban,46802,2162973
urban,37055,15847761
urban,24382,6335252
urban,48858,5793628
urban,92843,16603793
urban,94062,38670119
rural,41031,4633939
urban,02601,140115528
urban,76401,5675727
urban,67401,36767961
urban,67401,5623726
urban,43623,13628082
urban,02780,28693421
urban,02462,71960373
urban,41701,26257624
urban,73109,35576190
urban,46904,14314331
urban,48307,34151936
urban,61201,32649226
urban,40503,64678344
urban,01201,77520071
urban,54703,65430293
urban,80218,26457582
urban,80218,40696430
urban,07306,17547031
urban,31545,6185600
urban,24273,990979
urban,97213,53178377
urban,11572,97431374
urban,60435,62205659
urban,32405,40752227
urban,34950,53234678
urban,14220,38147372
urban,13021,18202066
urban,28721,12743156
rural,74344,6672941
urban,31558,6358284
rural,62946,3937665
urban,56001,36251097
urban,97383,3111075
urban,77494,30932823
urban,28052,64747263
urban,32250,20452691
urban,71220,2218566
urban,97015,11768915
urban,13045,9716001
urban,35903,23828502
urban,30060,135269798
urban,27536,10273101
urban,97601,23798393
urban,43210,166290967
urban,49017,20611042
urban,49442,56083928
urban,40353,4897413
urban,51360,4517658
urban,91436,8499593
urban,81505,9597635
urban,78596,12835422
urban,71730,12465022
urban,28117,10204210
urban,33146,15884924
urban,14905,23084015
urban,32401,33945167
urban,27360,7004320
urban,80701,2547289
urban,94553,15006473
urban,32068,21026198
urban,76542,16809178
urban,75460,31716808
urban,33484,90690758
urban,94080,4541800
urban,68144,3144673
urban,28359,32585137
urban,71270,8394658
urban,74467,4105578
urban,72450,7409252
urban,15063,9742762
urban,70444,151285
urban,78731,2583017
urban,34952,36985933
urban,98004,42000642
urban,47201,34411393
urban,77340,9453179
urban,75230,88878394
urban,10305,151315488
urban,35768,6025035
urban,97225,92715626
urban,36340,2831385
urban,92704,3787191
urban,40324,3185047
urban,07055,22660778
urban,39819,2939210
urban,44805,6894104
urban,98201,78098930
urban,55454,134220638
urban,52402,41283826
urban,58701,39456107
rural,13815,3790437
urban,33709,27694242
urban,01757,40241115
rural,05201,8553047
urban,32504,71686785
urban,42240,12176890
urban,74464,8909419
urban,76020,3545784
urban,37804,20068314
urban,48184,14830183
rural,48661,6858069
urban,45662,39324032
urban,45662,392898
urban,32207,151212836
urban,77521,36680989
urban,77521,516135
urban,46514,34004597
urban,63703,37936984
urban,08360,64828173
urban,38901,7434204
urban,89144,47430574
urban,92835,56382718
rural,76424,904405
urban,60050,83096905
urban,15025,19123573
urban,84651,8599492
urban,07503,82679196
rural,93635,15286490
rural,54548,3056933
rural,38829,4262639
urban,34119,60117367
urban,78602,220657
rural,64772,1956643
rural,30824,2363697
urban,74055,1838777
urban,74055,2629571
urban,14456,8804982
rural,81657,12943106
urban,46290,38642321
urban,43015,6284030
urban,33029,10625554
urban,02130,40502799
urban,80113,64498428
urban,89128,103793897
urban,10701,39514531
urban,10701,11552900
urban,95231,26596009
urban,71101,6197043
urban,71101,189302
urban,29406,72069163
urban,75075,94833640
urban,07094,7841329
urban,37172,6728898
urban,50010,25690290
urban,75070,3457311
urban,39204,21272969
rural,96743,5513852
urban,38261,6008533
urban,68803,4674859
urban,68803,16482835
rural,71040,3078642
urban,74137,15233218
urban,16154,1333152
urban,78737,2660485
urban,31533,9985157
urban,65775,14690042
urban,53916,4688957
urban,57108,27290150
urban,28112,27344698
urban,47362,10148852
urban,03103,41800697
urban,31404,88525555
urban,54701,25915656
urban,54701,11960928
urban,57105,10811134
urban,83814,70963159
urban,49423,11106551
urban,54401,51096316
urban,37129,54853292
urban,98042,3797685
urban,10016,679407099
urban,10016,86559234
urban,78582,2812834
urban,23454,53499630
urban,32550,14230114
rural,71449,1241810
urban,78258,7913741
urban,78258,42114157
urban,78102,4809084
urban,91786,45057882
urban,74127,28511782
urban,11432,44325016
urban,39759,7702939
urban,74804,11507801
urban,11201,36626834
urban,20007,123953801
urban,70601,30844587
urban,70601,34187407
rural,36426,2544091
urban,78332,7553249
urban,39601,9825974
urban,46601,51021241
rural,48617,3093856
urban,44691,10934550
rural,96786,2727453
rural,74447,1936481
urban,59405,9132152
urban,59405,41559416
rural,04938,4965241
urban,60048,58425038
urban,95945,27841856
rural,93210,1580291
urban,90048,492912627
urban,11794,298599890
rural,78934,3556734
urban,40701,18402713
urban,92882,18487027
rural,49091,1548074
urban,61614,8855561
urban,63640,13775575
urban,86326,28497786
urban,11355,107152042
urban,11355,34895864
urban,92806,8747357
urban,48093,76335904
urban,49855,42436185
urban,68198,152540042
urban,63901,26522035
urban,20016,37802931
urban,29425,195602452
urban,02904,9184279
urban,15132,7003174
urban,89503,54155474
urban,33033,19784088
urban,02302,37804804
urban,70791,6831046
urban,28677,20096505
urban,48135,24569366
urban,08822,34699314
urban,32063,3497407
urban,23188,24934057
urban,73701,16721381
urban,73701,9597543
urban,48106,106172804
urban,91403,22865824
urban,70526,7585548
urban,94015,21711822
urban,08724,77171071
rural,87327,1405975
urban,64468,4668444
urban,64093,10049218
urban,39046,4652647
urban,95337,6570348
urban,97058,11217402
urban,91733,7722309
urban,15401,12501638
rural,71446,6830952
urban,03102,68728870
urban,04901,3320864
urban,27518,29198725
urban,46402,36989071
rural,27573,2943890
urban,15905,29496907
rural,75961,9486298
urban,37066,15376680
urban,42701,37357117
urban,37814,12546249
urban,85206,32758202
urban,85206,8454957
urban,85206,45526809
urban,85251,56386107
urban,75401,24899766
rural,30512,9508122
rural,79601,95735115
urban,10456,43291968
urban,92307,33831900
rural,45331,6855586
rural,33470,21428801
rural,38652,10856986
urban,60628,11058503
urban,71753,3864254
urban,34102,118667037
urban,28376,4887137
urban,30041,56936275
urban,55371,4592813
urban,85395,26461849
urban,48180,15388195
rural,74571,2528279
urban,16830,2131823
rural,41240,4558383
urban,89113,24004706
urban,80026,13405127
urban,11229,45983061
urban,49093,2964372
urban,28170,2349666
urban,32561,14229530
urban,94110,104811566
urban,94110,30088048
urban,44903,45520453
urban,01040,18206396
urban,34748,49214421
urban,31792,25435376
urban,24501,116524588
urban,94609,80868912
urban,90291,24739090
urban,17901,14697809
rural,46534,1880952
urban,53097,11669068
urban,61362,5673432
rural,92227,14193731
urban,44115,5212508
urban,11040,223320068
rural,95616,12202495
urban,56187,3303292
urban,18042,5248943
urban,14620,33719741
urban,60461,48202420
urban,92103,75498197
urban,92103,239933985
urban,78640,26290073
urban,37075,17860109
urban,33414,28540979
urban,04011,12280841
urban,61104,38915202
urban,90017,61405233
urban,29325,12436147
urban,28560,72821955
urban,78701,47775824
urban,92708,42906650
urban,92708,44937371
urban,80538,58747320
urban,80538,7158406
urban,14217,11129437
rural,88011,31135309
rural,88011,23671178
urban,98225,68135049
urban,40031,3795121
urban,10601,87580720
urban,48124,76131615
urban,32901,95039959
urban,37923,56957752
urban,19104,251962650
urban,19104,96787780
urban,32086,56182963
urban,23235,120378556
urban,25801,34714727
urban,25801,16863192
urban,20186,11069726
rural,14437,5938670
urban,70461,9199889
urban,13820,6165755
urban,78681,37999778
rural,74868,1846053
urban,20706,59191829
urban,90806,8365907
urban,90806,69935405
urban,98520,13956429
urban,46342,32692193
urban,31901,42914735
urban,77351,4208057
urban,27909,25001146
rural,79201,2375771
urban,55379,10842413
rural,71463,1641532
urban,46131,4859641
rural,59715,25041757
urban,07666,42779980
urban,94598,123003490
urban,70127,2913630
urban,66441,2814599
urban,07733,34503206
rural,76380,1321907
urban,46219,56222619
urban,70301,15695284
urban,30909,41227184
urban,53151,259083
urban,49707,16959728
urban,29102,5520663
urban,45504,28961394
urban,81004,6792103
urban,75093,67575285
urban,75093,41751317
urban,75093,30835615
urban,75093,957127
urban,14437,5938670
rural,78629,2523803
rural,63801,15332226
urban,10029,368116379
urban,10029,24765872
urban,29944,2416309
urban,67502,22901279
urban,67502,1292604
urban,26241,8927634
urban,17033,114431810
urban,03867,9049810
urban,47025,13387419
urban,53098,8950242
urban,73139,1275745
urban,24523,6426632
urban,77058,21831123
urban,80487,5204906
urban,13126,10534995
urban,87106,90136886
urban,87106,81966541
rural,12572,18517831
urban,91950,13789893
urban,32216,20719414
urban,32216,51331754
urban,85308,54611843
urban,30286,11125806
urban,21218,106816060
urban,20814,91218439
urban,30223,17841316
urban,13210,105735963
urban,13210,49538900
rural,73401,25824894
urban,43311,7050087
urban,33013,13106227
urban,62901,36594751
urban,77054,130597693
urban,77054,1893299
urban,53511,20044759
urban,45236,43139355
rural,78945,3741428
urban,37857,749220
urban,29108,8601186
urban,35611,11003902
urban,03909,9405298
urban,33901,111991112
urban,99645,42190675
urban,95823,22559057
urban,95823,28463060
rural,14895,5380161
urban,60451,73165576
urban,73135,24821292
urban,92627,833992
urban,07042,39985893
urban,60629,10407562
urban,39520,2235790
urban,92404,29665894
urban,63110,297254994
urban,63110,76209049
urban,95203,16311587
urban,70663,7304189
rural,45828,9070809
urban,70508,48378377
urban,70508,2302159
urban,70508,288749
urban,49201,61353186
urban,58104,40569772
urban,76208,8533976
urban,68510,21227959
rural,36507,3445955
urban,52001,11770028
urban,52001,36984464
urban,38019,4705125
urban,42066,10905850
urban,62948,26889424
rural,36545,927261
urban,62401,15724851
urban,28557,25113468
urban,47546,16617886
urban,78232,1692868
urban,73120,63837614
urban,73120,51125457
urban,73120,1221979
urban,62230,3694239
urban,63044,51068343
urban,18045,34679582
urban,27886,9308482
urban,23223,2642946
rural,98837,11890953
urban,29506,91151128
urban,21801,129705135
urban,80129,20121910
rural,97058,11217402
rural,27892,4373059
urban,39440,18059240
urban,13903,51873486
rural,37110,6691780
urban,77004,16217570
urban,91342,36983050
rural,59501,4868765
urban,69101,26987780
urban,50501,13049197
urban,82072,7742801
urban,45701,13392138
urban,91006,46604460
urban,98506,78287654
urban,12771,9089980
urban,75231,88569965
urban,75231,2908103
urban,75231,8929721
urban,30115,54318526
urban,77701,34174452
urban,86301,54744572
urban,06810,101627113
urban,44307,58252485
urban,71291,33555844
urban,25309,18061998
urban,16601,48566515
urban,96720,33484797
urban,91406,33251667
urban,11215,117431828
urban,67357,7539644
urban,79339,877064
urban,50401,48345094
urban,60169,42785795
urban,62526,29365524
urban,68114,69722472
urban,68114,4654162
urban,48116,1344717
urban,30012,19506720
urban,76210,32845370
urban,79911,11811750
urban,73533,14520296
urban,20176,46027970
urban,78705,108878058
urban,78705,57366410
urban,42003,34949782
urban,42003,33685981
urban,73034,11653016
urban,80124,37262407
urban,77384,28639661
urban,77384,4187502
urban,27893,20648294
urban,30120,19404625
urban,93111,7028301
urban,57078,14374617
urban,33316,41930227
urban,94611,36474028
urban,79936,2711294
urban,73104,120239371
urban,48202,136931530
urban,78130,12674119
urban,15215,20686567
urban,61764,9952661
urban,60099,4067592
urban,95688,7627133
urban,85297,34477974
rural,67460,3765465
urban,29204,24836359
urban,19958,53627467
urban,14210,134980611
urban,29640,11875077
urban,70806,4015745
urban,35243,57748791
urban,60139,10787918
urban,29169,102108267
urban,37207,43284913
urban,95382,33702885
urban,14843,3811439
rural,77351,4208057
rural,53948,3914251
urban,45242,78316751
urban,75057,16575124
rural,26452,5520495
urban,10310,39032391
urban,14020,9735869
urban,30342,82985807
urban,30342,65141588
urban,20678,33850047
urban,01453,24718966
urban,33175,32882784
urban,92220,8070859
urban,75708,6366361
urban,79410,59490806
urban,70458,18014155
urban,70458,2081639
urban,70458,1487794
urban,03431,18798003
urban,07207,20486193
urban,92118,8990396
urban,74465,18766314
urban,85016,2636452
rural,15425,843883
urban,55060,4674190
rural,95901,99211635
urban,78660,2013417
urban,38237,3031608
urban,78526,19951746
urban,28501,20000785
rural,88201,13048915
rural,88201,3148546
urban,43302,25598093
urban,29720,13407471
urban,84501,7463164
urban,72143,37497070
rural,39350,313791
rural,39350,2971513
urban,28602,25142232
urban,17015,14198090
rural,29569,32562596
urban,48708,51683513
urban,94403,6281246
urban,85209,23038061
urban,33563,12468845
urban,53051,22521723
urban,28025,71579363
urban,19141,65408281
urban,06260,9426177
urban,07840,14888607
rural,57201,13121691
urban,75961,9486298
urban,17522,13616237
rural,42104,14974327
urban,11706,114178941
urban,55109,31421195
urban,47630,555098
urban,10461,74570183
urban,07065,17389265
urban,38614,4651016
rural,38344,4325212
rural,96750,13921209
urban,45220,41296759
urban,60202,29559637
urban,08701,23289956
urban,08638,31248279
urban,28607,19103865
urban,33613,53091172
urban,22401,90168741
urban,32771,23124131
urban,95128,140245842
urban,66762,9081818
urban,73101,68208175
urban,22033,27344856
urban,84065,5124299
urban,04101,8374943
rural,74361,1290081
urban,33525,8563143
urban,62702,87405248
urban,35960,1274927
urban,89502,109814114
urban,60631,65793915
urban,80631,34031981
urban,39216,112582070
urban,39216,85230566
urban,33677,110830246
urban,70070,1296011
urban,76301,67286851
urban,80027,8060604
urban,28752,6172813
urban,78240,1410943
urban,38751,2179694
urban,52245,22386198
urban,36081,2137018
urban,50309,112132657
urban,77469,10970948
urban,67214,119930882
urban,67214,105197187
urban,48322,32668306
rural,18431,11116614
urban,20190,35275857
urban,60540,68144291
urban,56308,11818603
urban,34474,46836904
urban,47403,4222782
urban,27804,33302090
urban,29601,60258843
urban,17042,20744798
urban,08015,43611198
urban,71457,6486842
urban,30701,15538795
urban,32725,2679547
urban,46312,13438560
urban,63117,36986539
rural,62230,3694239
urban,38732,8296586
urban,49242,4851255
urban,07450,104869008
urban,95119,10046182
urban,76801,11250091
urban,11235,87116088
urban,76033,8031419
urban,98405,93825488
urban,98405,82357926
urban,91776,21262871
urban,26506,141807273
rural,67530,6654361
urban,29572,99170067
urban,79902,43379207
urban,79902,22231619
urban,79902,14925321
urban,31788,12307778
urban,64114,20869610
urban,74401,28418343
urban,13669,7277505
urban,90028,62353088
urban,27401,100731227
urban,18840,51342289
urban,84102,8444549
urban,95603,19353012
urban,17268,8538913
urban,46360,26428829
urban,48060,30385247
urban,48060,11520226
urban,42431,20273736
urban,24266,3702585
urban,77504,23771055
urban,77504,921549
urban,82001,62325116
urban,72205,98468907
urban,72205,92416623
urban,72205,73878703
urban,29615,1177284
urban,37040,24875983
urban,77702,45375275
urban,21601,58742174
urban,23185,5563719
urban,77094,40635921
urban,32565,1004809
urban,46321,70728843
urban,46321,11358083
urban,21201,390145465
urban,21201,36962968
urban,21201,1479888
urban,54311,22946592
urban,45502,383334
rural,36037,1947464
urban,90720,32329046
urban,90036,5637726
urban,90036,1940267
rural,29574,7407704
urban,30078,18912617
urban,80210,26300297
rural,67114,10136748
urban,33180,52245682
urban,51503,19774259
urban,51503,12214368
urban,85339,2212689
urban,76067,7736311
urban,18301,28393106
urban,85901,25078144
urban,75033,6205509
urban,20110,22715510
urban,02908,12597202
urban,53142,15611770
urban,94589,25269366
urban,94589,13639435
urban,79412,552413
rural,38372,3158547
urban,02190,127350387
urban,57006,4313777
urban,95403,3126805
urban,95403,43963233
urban,25601,16560108
urban,76180,18251491
urban,75455,9821666
urban,62301,67447340
urban,05201,8553047
urban,13421,6451244
urban,76054,371027
urban,71418,521857
urban,71418,2053188
rural,71075,2059299
urban,45601,40737925
urban,43213,78101822
urban,15301,15945198
urban,15301,1939933
urban,32803,395931616
urban,86426,4885015
urban,12078,5315390
urban,85711,36200555
urban,94010,69075140
urban,53121,7365986
urban,93210,1580291
urban,94509,34902991
urban,65302,11970849
rural,35570,1509434
urban,50208,2832180
urban,33012,12319821
rural,39828,1935182
rural,04743,5577521
rural,23417,9390651
urban,21215,179503080
urban,04243,7838657
urban,89119,27280001
urban,48601,35648393
urban,47804,60129534
urban,10901,61104407
urban,01104,30270073
rural,15370,1371182
urban,89102,62920417
urban,67005,2577855
urban,76201,29490697
urban,02895,12869071
urban,95240,29567131
urban,30141,21208624
urban,57049,5496735
urban,97471,25693370
urban,74017,1845068
urban,74017,6644322
urban,52627,1235527
urban,02720,142577416
urban,60611,237271286
rural,78332,7553249
urban,85037,27872447
urban,62207,2039315
urban,15963,1873210
urban,31520,49461068
rural,71295,2448864
urban,63026,26374117
urban,98948,1514536
rural,24354,4275556
urban,92618,17568026
rural,14787,463894
urban,81416,4690038
urban,80501,8452945
urban,28374,81963794
urban,21204,110800959
urban,21204,71213445
urban,23666,29404402
urban,72758,36720342
urban,75088,24067858
urban,39466,4629117
urban,28540,17573025
rural,44654,2085704
urban,32114,57207517
urban,28144,23125599
urban,63401,20994236
urban,43215,57708238
rural,77437,5749130
urban,31093,36136712
urban,37076,28885066
urban,80122,26071137
rural,84074,3605229
urban,11743,92549079
urban,02135,86567726
rural,93940,109492060
urban,37160,2711303
urban,75020,76940950
urban,10451,38587451
urban,94583,22585570
urban,85542,1490380
urban,29605,140449807
urban,53227,17033351
rural,54729,2543293
urban,84790,80348989
urban,08079,9160724
urban,29401,56535496
urban,20166,4740996
urban,85614,3465884
urban,54911,19200810
urban,55904,3942618
urban,61832,14161486
urban,30742,755561
urban,47750,53815846
urban,55021,4091313
urban,32308,29001944
urban,32308,70392459
urban,35555,3058044
urban,48602,73158405
urban,01970,75563772
urban,91356,51909114
urban,55902,469745099
urban,99801,10669418
urban,49519,23412171
urban,75061,27915777
urban,30655,10866046
urban,77657,218395
urban,88101,7792617
rural,02554,2689506
urban,90301,48888271
urban,61354,7300757
urban,07030,13317764
urban,90023,3347998
urban,90023,30117081
rural,39705,37584617
urban,98502,13597025
urban,75071,29937410
rural,11229,45983061
urban,85712,86544339
urban,18104,3264294
urban,42303,56411543
urban,34613,55896649
urban,94602,81623950
urban,68847,25108468
urban,84094,3803073
urban,32539,17022521
urban,90027,21073299
urban,90027,39453137
urban,26038,7143680
urban,64116,63784667
rural,42276,2472337
urban,93454,71364174
urban,60045,42426686
urban,85260,74288273
urban,85286,7633921
urban,29681,4961463
urban,94115,9571499
urban,85122,18772395
urban,35150,6173643
urban,28462,18311786
urban,48439,59846966
urban,83687,8650266
urban,83687,14468121
urban,65201,52566015
urban,97062,20627684
urban,30901,66979366
urban,32170,14236764
urban,34972,11183245
rural,77954,2234473
urban,46260,140370913
urban,21811,20540109
urban,01085,10019089
urban,89052,73359012
urban,23456,42532494
urban,19380,50720673
urban,31201,77497877
rural,85901,25078144
urban,27573,2943890
urban,82601,60407788
urban,60450,18630454
urban,39202,83616036
rural,67124,10120148
urban,46563,5753824
rural,36784,470996
urban,18901,52226735
urban,85338,2889791
urban,63118,5332211
urban,98274,26559167
urban,58201,51922484
urban,85375,56031392
urban,54935,17994348
urban,32034,10400996
urban,93637,11034528
urban,48043,43784205
urban,23114,34445305
urban,17044,13797657
urban,36360,3960488
urban,79124,4619927
urban,81501,53396123
urban,37766,3174370
urban,57501,8734573
rural,49660,5863864
urban,58501,32721723
urban,79045,2239036
rural,97914,5710266
urban,29574,7407704
urban,90640,19237906
urban,07103,60487058
urban,85635,21151758
rural,33936,5768663
urban,94903,2330981
urban,71055,6016830
rural,99669,27585905
urban,07860,32764519
urban,60634,15826080
urban,43701,55029970
urban,37167,12788949
urban,06010,11498912
urban,64063,14909368
rural,97420,35670170
urban,34202,23550591
urban,33324,34240179
urban,46706,2786323
rural,23851,6170071
urban,29115,21276007
urban,64012,8159892
urban,27006,2953100
rural,78654,10763132
rural,63841,2738983
urban,38103,32667038
urban,16105,9422349
urban,93308,19375277
urban,93308,3670246
urban,95817,265472217
urban,14424,10657006
rural,36701,7938371
urban,60302,15239933
urban,49930,3865593
urban,63801,15332226
urban,89011,37184904
urban,11777,66510003
urban,11777,23778079
urban,06226,12967480
urban,42104,14974327
urban,32827,2196599
urban,95901,99211635
rural,76458,6803957
urban,60453,151165244
urban,37404,44432939
urban,37404,77047324
urban,33458,54125798
rural,04005,22380959
urban,91911,60393552
urban,19001,120123954
urban,95531,14194426
urban,32456,1993150
urban,17701,43629754
urban,38024,9627512
urban,56537,5794854
rural,44035,23442105
urban,36092,1507050
rural,75455,9821666
urban,90247,16519706
urban,19468,8183770
urban,57703,12165042
urban,85713,13782737
urban,25401,25551840
urban,37916,36411797
urban,04401,75583342
urban,04401,13931088
urban,61401,16545929
urban,61401,2338910
urban,39705,37584617
urban,16127,3150511
urban,22601,92812504
rural,31513,1464105
urban,37643,6188545
urban,90650,9233910
urban,77555,106511500
urban,55125,12997292
urban,11901,56717399
urban,24541,36024258
urban,92705,19512020
urban,99336,21523824
urban,77304,35387118
urban,86503,5175688
urban,19114,83285735
rural,35555,3058044
urban,15065,5557685
urban,93065,34021280
urban,30076,29217489
urban,53188,34974418
urban,56007,13873366
urban,94538,4099427
urban,94538,72753517
urban,96817,16539874
urban,33952,43026104
urban,33952,33134926
urban,93721,138694756
urban,92411,6750727
rural,55060,4674190
rural,56007,13873366
urban,32935,11971427
rural,32435,353636
urban,30606,77651025
urban,30606,25207934
urban,84660,764306
urban,75028,12414233
urban,08244,31317357
urban,53212,5048035
urban,60126,62166125
urban,74132,6240526
urban,01890,35975884
urban,79701,31325367
urban,44084,1238740
rural,04856,10411353
urban,35601,23823418
urban,02903,128690302
urban,37398,6842885
urban,39042,5501813
rural,16735,1833180
rural,70546,6414027
urban,62002,9408365
urban,62002,19827403
urban,24073,20262878
urban,89148,37230083
urban,92025,55106722
rural,16214,4993367
urban,78610,870188
urban,46140,9285321
urban,18431,11116614
urban,91754,5939605
urban,91754,22286149
urban,19118,24335453
urban,48073,189036463
urban,45409,131266935
urban,33065,19342502
rural,70554,1595889
urban,28792,10915830
urban,22939,39345675
urban,70072,18162885
urban,43537,23190466
urban,19464,19808426
urban,35125,4145228
rural,39429,1778281
urban,77414,6776846
urban,73507,1168775
urban,46202,197782747
urban,46202,42134848
urban,94117,31070674
urban,94117,18628137
rural,23970,10805241
urban,28687,3508341
urban,33544,20890086
urban,32940,15845439
urban,29440,13083777
rural,29102,5520663
urban,80220,22287605
urban,51104,21170089
urban,97504,76558268
urban,97504,22731149
urban,45891,6012744
urban,75001,6982637
urban,70043,2419905
urban,76063,30164992
urban,76063,1410351
urban,35901,18894320
urban,27609,37875228
urban,27704,44238465
urban,27704,3308268
rural,42718,6319993
urban,30046,90890319
urban,90241,18275341
urban,12010,10376625
urban,11772,54194615
urban,94305,452572914
urban,30058,9275540
urban,29414,23972051
urban,77833,5718928
urban,76104,110398389
urban,76104,54615384
urban,76104,57807155
urban,76104,76116595
urban,01844,48348938
urban,29801,26717136
urban,94596,5276728
urban,48230,26266780
urban,30830,1527787
rural,05478,14131871
urban,15243,26363876
urban,72315,3570573
urban,62864,4097315
urban,62864,30209343
rural,57625,904804
urban,48603,143133
rural,87313,1093523
urban,72401,65237128
urban,30097,19339723
urban,36301,58711818
urban,98372,64007926
rural,39367,3725040
urban,57301,8262221
urban,96819,6520466
urban,11373,66872281
urban,47130,22960037
urban,37660,2095035
urban,92505,7376071
urban,80504,13396484
rural,50112,3228548
urban,40351,13065926
urban,27870,15369180
urban,11803,48796248
urban,08865,24423913
rural,55371,4592813
urban,80634,10236939
urban,16803,33484270
urban,99208,24095595
urban,15650,9990217
urban,60622,10892072
urban,60622,27560588
urban,33016,28654353
urban,60644,5630772
urban,97914,5710266
urban,30134,19912497
urban,49221,11979662
urban,44481,17213774
urban,35233,219026522
urban,35233,177639
urban,02721,45599939
urban,33024,16348600
urban,82716,13499980
urban,61520,8039789
urban,45255,29225603
urban,48341,66510780
urban,48341,341583
urban,17402,4887373
urban,72342,1124513
urban,67460,3765465
urban,13413,28832609
urban,39120,11958711
urban,92064,14995114
urban,15146,25144042
urban,15146,12167590
urban,90242,7667059
urban,90242,8805477
urban,55066,6606049
urban,02540,31397297
urban,90502,58239533
rural,49093,2964372
urban,45013,14974667
urban,02115,385611507
rural,04605,7895055
urban,15219,33216554
rural,92225,988728
rural,65613,7425820
urban,59901,35603113
urban,53548,21066248
urban,80303,34320166
urban,37849,35731498
urban,70554,1595889
urban,20744,13383736
urban,60201,186540809
urban,29902,26934256
urban,95482,18600150
urban,53081,3358685
urban,84088,17178847
urban,08401,102009535
urban,29706,3067947
urban,52242,169197669
rural,76234,20594090
urban,55369,9084925
urban,85306,49837160
urban,36049,1308750
rural,29520,7566983
urban,77505,7038040
urban,30214,48410565
urban,91204,32571388
urban,54495,6581043
urban,07109,36518461
rural,70634,4023189
urban,68046,3000251
urban,99216,13794003
rural,92220,8070859
urban,90602,48495498
urban,33155,7519762
urban,64108,28369650
urban,17011,35806447
urban,72601,7214494
urban,47274,7195353
urban,95124,81989864
urban,43402,4533083
urban,67901,11747441
urban,08629,11468723
urban,90732,11979986
urban,94705,45370680
urban,63141,7985125
urban,63141,99532111
rural,72160,2022257
rural,71263,1483155
urban,60134,33349363
urban,04005,22380959
urban,74301,4175538
urban,94904,66864698
urban,33870,14393963
urban,41339,4149862
urban,57783,6327577
urban,36608,25614832
urban,36608,31256450
urban,40456,3122271
urban,98499,16864894
urban,15425,843883
urban,33872,37199031
urban,70809,45760166
urban,55435,56447103
urban,67235,7244452
urban,21157,65214773
urban,44111,50862814
urban,61282,6898112
urban,37355,2886581
urban,40361,1314851
urban,23851,6170071
rural,04736,4077346
rural,31082,1223247
urban,76177,11762616
urban,76177,5083745
urban,47747,130670650
urban,05401,82219951
urban,16509,3297361
urban,66219,270642
urban,34769,10271103
urban,43214,169958655
urban,37748,5883308
urban,92503,14567321
urban,85546,3268875
urban,33321,15717561
urban,02215,249446462
urban,24219,9711826
urban,45385,929016
urban,81003,50094431
urban,90255,5504892
rural,24970,8847771
urban,19401,7745295
urban,19140,137311997
urban,10003,101039828
urban,10003,879441
rural,24614,2836432
urban,63367,23926997
urban,08536,51016147
urban,37067,25094339
urban,83201,38450388
urban,10990,6608122
urban,21237,96449935
urban,15317,3130557
urban,95350,83242968
urban,70403,28555244
urban,70403,2727658
urban,45331,6855586
urban,19611,109037020
urban,84403,44836631
urban,93710,11762216
urban,93710,106366754
urban,31620,498684
urban,22554,12248367
urban,80204,29152654
urban,49307,5210852
urban,45429,68424803
urban,12801,27374704
urban,07740,44890068
urban,92335,22001880
urban,60463,86888595
urban,18102,412143
urban,92037,45103838
urban,92037,101005525
urban,59804,11692196
urban,95991,2171009
urban,91206,107043064
rural,42167,2877710
urban,43055,19346733
urban,45840,24043052
rural,49738,7476607
urban,47374,67372463
urban,29464,11672229
urban,85085,5769132
rural,76255,2791052
urban,89031,948702
urban,60160,18977006
urban,20032,14722488
rural,39845,1874020
rural,63090,14016791
urban,35661,1331189
urban,72117,48120122
urban,38119,25769080
urban,38501,53407127
urban,48382,20447851
urban,04330,26899777
urban,14094,1353702
urban,93405,22427929
urban,88001,1086121
urban,61761,24013574
urban,26062,18346550
urban,75235,131860520
urban,78746,5948927
urban,78746,1681194
urban,72032,11963240
urban,38464,5001943
urban,35209,23850263
urban,32806,197076268
urban,75246,151893648
urban,46158,9919399
rural,83301,29104173
urban,61081,14830853
urban,63376,14631595
urban,60085,22160246
urban,62959,9275797
rural,84078,4692038
urban,23707,33192607
urban,28215,5024831
urban,48154,55192430
urban,15701,9364988
urban,97239,127205219
urban,31750,2075183
urban,34994,93601700
urban,39503,8672767
urban,67801,5730164
urban,54301,25147433
urban,75601,49883447
urban,95521,4880949
urban,77339,1412985
urban,77339,193563
urban,95340,48456141
urban,29212,10619593
urban,30281,40825493
urban,66215,37539672
