Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,55102,70469344
urban,55102,5672971
rural,32720,20610496
rural,37879,3526701
rural,71351,2438481
urban,39350,313791
urban,39350,2971513
urban,32514,50880199
urban,33176,83788141
urban,79905,43987187
urban,19460,21797028
rural,74301,4175538
urban,73521,10909506
urban,14701,11016931
urban,75605,35561054
urban,85202,72173536
urban,20774,91694571
urban,53215,143533326
urban,53215,8349474
urban,74702,20817045
urban,33541,21795881
urban,62269,33889693
urban,91706,5114239
rural,71269,2026958
urban,63501,11782045
urban,65109,14521187
urban,96766,10223890
urban,15009,17071882
urban,60402,29435757
urban,17815,4237366
urban,98686,26277458
urban,49503,150758556
urban,49503,35373075
urban,30720,32563383
urban,22205,66783804
rural,29560,1428651
urban,38654,12939439
urban,44035,23442105
urban,46237,88944248
urban,46526,12706320
rural,85212,5811708
urban,85629,752834
urban,17105,117836771
urban,31995,30206129
urban,05701,20423516
urban,44024,29234627
urban,28401,1778773
urban,77090,26527785
urban,77090,1233519
urban,55101,107773077
rural,71655,6593064
urban,13203,82669404
rural,39773,3818746
urban,92120,23678219
urban,92120,15429018
urban,33486,94584147
urban,91352,5976931
rural,70444,151285
urban,49801,7440432
urban,85027,38435936
urban,22801,55031800
rural,12983,10883833
urban,93720,3658818
urban,19610,3190164
rural,48601,35648393
urban,39402,26355734
urban,35010,4633910
urban,33853,7907374
urban,12534,13544465
urban,19403,31751735
urban,19403,1278277
urban,92056,31025708
rural,37830,23185242
urban,91325,54502878
urban,75633,2468679
urban,36207,25376851
rural,38606,2554086
urban,86442,14423497
urban,16201,4581684
urban,74361,1290081
urban,42728,594398
urban,92653,37586485
urban,40065,2551288
urban,90015,20691230
urban,85140,10203492
urban,64111,104582470
urban,29466,8347755
urban,95051,12878694
urban,78666,10392350
urban,33028,45008100
urban,98034,41239850
urban,73129,1347119
urban,30309,115029775
urban,61554,5890414
urban,60007,76092582
urban,49783,7854679
urban,33705,46088773
urban,93301,41902125
urban,93301,32467651
urban,93301,53771249
urban,30535,3869326
urban,23601,78023764
urban,60440,13816751
urban,18951,14885420
rural,39069,320336
urban,44266,12982114
urban,54956,13902736
urban,13905,27739914
urban,64057,39692498
urban,11795,106329332
urban,58122,130560729
rural,81601,20158912
urban,70380,4092608
urban,56401,14989467
urban,92543,20637628
urban,77584,8880740
urban,92585,5588910
urban,95405,88179639
rural,74467,4105578
urban,21229,70126617
urban,99352,81965041
urban,46534,1880952
urban,89106,49202015
rural,73075,182587
urban,53024,19780337
rural,64429,6555513
urban,93436,14924628
urban,44601,4997936
urban,53211,35576187
urban,57401,19461946
urban,57701,102135836
urban,57701,125540
urban,60901,39333757
urban,60901,17998184
urban,92868,118871208
urban,92868,67012474
urban,02906,52775207
urban,45373,13301505
urban,45373,2516686
urban,23502,53910507
urban,47250,9711057
rural,74960,1909671
urban,07652,7316367
urban,43050,13328189
urban,48054,2623081
urban,18103,242533482
urban,79714,1962385
rural,73601,2438693
urban,18603,1510720
urban,72104,2307669
rural,27910,11435086
urban,40965,3218833
urban,08876,50592109
rural,24801,3501807
urban,13662,4319688
urban,91773,10363469
urban,70112,40016138
